num_qubits,reps,num_params,pennylane_adjoint_mean_s,pennylane_adjoint_std_s
4,1,16,0.0014646418000000328,6.367630316348466e-05
4,10,88,0.006042525400000054,0.00010053041685703304
4,20,168,0.015469683600000029,0.009345233251458427
4,30,248,0.015733633399999957,0.00015096812755625532
4,40,328,0.020473216600000076,0.0001493741047619422
4,50,408,0.030393125199999906,0.008972450704709546
4,60,488,0.03554622519999997,0.009602023826730113
4,70,568,0.044858474800000006,0.011849979677161821
4,80,648,0.05040748319999988,0.011618779786750265
4,90,728,0.05486768339999992,0.011850895666421467
4,100,808,0.05982557480000006,0.01230025953804375
