num_qubits,reps,num_params,qiskit_mean_s,qiskit_std_s
4,1,16,0.015617000200000009,0.0005062641261461772
4,10,88,0.4539879750000001,0.001374256671188394
4,20,168,1.6733361166000003,0.009047195392765444
4,30,248,3.6823076582,0.032854363485399114
4,40,328,6.358471666399997,0.017617997482316086
4,50,408,9.9452757082,0.05306670526135515
4,60,488,14.209320517000004,0.048207934356101656
4,70,568,19.29734932520001,0.0387891102606157
4,80,648,25.127183850200005,0.06608315705563259
4,90,728,32.01534366679998,0.3617445039282232
4,100,808,39.38092610839999,0.12744786453826012
